mediaId,score
0df72900-568f-4efe-8e0c-60a984df7d45,0
453,0
b8a3ffc2-02da-4514-9523-0e410a760640,0
930,1
4af8fef0-d81c-4a74-b774-d6d94992c088,1
222,1
8cd2dc66-d403-4182-8658-3ce85f9d816f,1
771,1
546,0
a7427322-486c-4865-b299-0a4ac98af3c5,0
0b601498-b891-45e8-9162-9f1b5cc502e3,0
4fb5f2e5-bcb0-44c1-80b4-203072656717,1
a52ecbd4-848e-43f8-9930-9f1ab3edf180,1
a8f59605-ccf2-4eed-ae7b-fb1e5fd868cc,1
149aea18-a14a-4fe2-bd15-92ce39a9d23b,1
db535182-d13b-4803-8dad-007ded6c70af,1
129,0
837,0